PE-27,PE-33,PE-34,PE-46,Zombie,Snake,Tetris,Matrix,Funky Town,Boundary
16.10531517,5.459431619,16.76376998,10.85642553,8.463524373,12.96397979,12.98299357,8.189824559,13.73301532,12.28771238
16.18380982,5.392317423,16.80365186,10.85408918,8.438791853,12.90425828,13.00720251,8.285402219,13.60316268,12.25029842
16.11538916,5.426264755,16.76946338,10.90538701,8.50779464,12.96506276,12.95383268,8.209453366,13.65105169,12.24792751
16.08399864,5.392317423,16.83365604,10.97441459,8.434628228,12.93461233,12.994707,8.189824559,13.64205169,12.23959853
16.1374715,5.426264755,16.72958092,10.92332749,8.451211112,12.93645391,13.00176003,8.209453366,13.67639789,12.40301202
16.11664855,5.491853096,16.80149366,10.88187871,8.463524373,12.93847694,13.02669633,8.266786541,13.71166697,12.22400167
16.11823139,5.426264755,16.74598938,10.83526092,8.459431619,12.89424936,12.97028568,8.209453366,13.68123841,12.33650656
16.11046292,5.392317423,16.85959545,10.92925841,8.442943496,12.8957646,12.95255926,8.22881869,13.64880695,12.32755264
16.11888026,5.392317423,16.73382301,10.84862294,8.447083226,12.89083425,12.97871046,8.209453366,13.65508345,12.39339046
16.09677691,5.426264755,16.7713863,10.83526092,8.447083226,12.91606605,12.95128471,8.22881869,13.67771964,12.25620869
16.11888026,5.392317423,16.80779513,10.88798213,8.45532722,12.97262086,13.00965369,8.247927513,13.69740201,12.28193003
16.10807518,5.459431619,16.76668418,10.83526092,8.447083226,12.87785926,12.9710046,8.189824559,13.61930296,12.29232163
16.09333503,5.584962501,16.77174737,10.85330956,8.566054038,12.87055737,12.97871046,8.22881869,13.65150022,12.27146303
16.07785884,5.426264755,16.74299356,10.86108691,8.483815777,12.86785786,12.96253456,8.189824559,13.6128685,12.26091953
16.09069137,5.426264755,16.78344591,10.89784546,8.442943496,12.87363636,12.97710101,8.22881869,13.69957245,12.34651373
16.08196187,5.392317423,16.772495,10.96072599,8.447083226,12.9130764,12.96938652,8.321928095,13.63344937,12.25856603
16.09706508,5.459431619,16.75228917,11.00351791,8.442943496,12.93258387,13.05833003,8.169925001,13.65284497,12.30035256
16.0899056,5.426264755,16.76946338,10.84156435,8.566054038,12.90331701,13.02807872,8.209453366,13.59758704,12.32642949
16.08988491,5.459431619,16.7886801,10.88187871,8.577428828,12.90030079,12.95746485,8.22881869,13.61332905,12.31628153
16.12001507,5.426264755,16.86541915,10.81057163,8.442943496,12.85486838,12.95637616,8.209453366,13.68079903,12.30035256
16.11581585,5.459431619,16.77688278,10.82654849,8.442943496,12.87632509,12.98192399,8.169925001,13.67286728,12.23840474
16.12751076,5.392317423,16.7930063,10.86341196,8.45532722,12.88073144,12.95237725,8.189824559,13.63254088,12.31174832
16.11940725,5.491853096,16.7934255,10.88340699,8.45532722,12.88397967,12.96506276,8.22881869,13.71896091,12.357552
16.09160067,5.426264755,16.80609644,10.86186234,8.46760555,12.86166852,12.97710101,8.209453366,13.61194694,12.19475685
16.05955571,5.392317423,16.73102728,10.85953479,8.45532722,12.87382857,12.98370619,8.209453366,13.64655871,12.19475685
16.12005558,5.426264755,16.78287027,10.88569637,8.438791853,12.90180968,13.00281502,8.247927513,13.62707784,12.2467406
16.07211166,5.426264755,16.74100606,10.83289001,8.45532722,12.8938703,12.99417663,8.209453366,13.67419227,12.32530546
16.09638573,5.426264755,16.76188881,10.85252951,8.442943496,12.92999806,13.03737536,8.247927513,13.63571812,12.21310422
16.15305717,5.459431619,16.7934128,10.82575383,8.447083226,12.87229011,12.95873395,8.266786541,13.62616532,12.26912668
16.09996414,5.426264755,16.81614617,10.83447105,8.45532722,12.87478928,12.95419631,8.189824559,13.63662462,12.34318572
