C Avg. Runtime	C lower CI	C upper CI
8099	8043.0	8154.0
-C Avg. Runtime	-C lower CI	-C upper CI
16	15.0	17.0

Trail	C+ Runtime	C- Runtime
0	8096	15
1	8233	15
2	7934	15
3	8162	15
4	8202	15
5	8345	16
6	8025	27
7	7927	15
8	8072	15
9	7920	15
10	8247	16
11	8029	15
12	8072	16
13	7982	15
14	8063	16
15	8020	15
16	8530	20
17	8353	15
18	7954	15
19	7948	16
20	8090	15
21	7926	15
22	7996	15
23	8063	16
24	8100	15
25	8208	15
26	8159	16
27	8407	15
28	7961	15
29	7936	16
