C Avg. Runtime	C lower CI	C upper CI
17677	17631.0	17723.0
-C Avg. Runtime	-C lower CI	-C upper CI
35	34.0	36.0

Trail	C+ Runtime	C- Runtime
0	17614	34
1	17663	34
2	17862	34
3	17806	33
4	17618	34
5	17587	34
6	17675	34
7	17541	33
8	17513	33
9	17452	33
10	17603	35
11	17773	35
12	17746	34
13	17779	33
14	17602	35
15	17679	34
16	17769	34
17	17667	35
18	17611	39
19	17629	34
20	17644	34
21	17774	33
22	17554	34
23	17820	34
24	18038	34
25	17618	50
26	17511	34
27	17692	34
28	17924	34
29	17554	34
