+C Avg. Runtime	+C lower CI	+C upper CI
622	620.0	625.0
-C Avg. Runtime	-C lower CI	-C upper CI
187	184.0	190.0

Trail	C+ Runtime	C- Runtime
0	621	185
1	630	185
2	617	185
3	623	185
4	624	185
5	618	194
6	616	184
7	621	185
8	621	189
9	653	184
10	622	213
11	619	184
12	618	185
13	619	185
14	618	183
15	615	185
16	622	186
17	620	188
18	621	185
19	616	184
20	617	186
21	625	184
22	620	184
23	618	183
24	620	184
25	621	185
26	624	187
27	647	218
28	623	184
29	624	184
