+C Avg. Runtime	+C lower CI	+C upper CI
7655	7595.0	7716.0
-C Avg. Runtime	-C lower CI	-C upper CI
9	8.0	9.0

Trail	C+ Runtime	C- Runtime
0	7990	11
1	7666	14
2	7996	8
3	7829	8
4	7839	8
5	7850	7
6	7613	8
7	7621	8
8	7595	11
9	7729	8
10	8038	8
11	7527	8
12	7489	8
13	7475	7
14	7505	11
15	7713	8
16	7818	8
17	7661	8
18	7645	7
19	7408	8
20	7519	8
21	7542	8
22	7559	14
23	7443	8
24	7506	9
25	7653	8
26	7611	8
27	7804	8
28	7498	9
29	7511	12
