+C Avg. Runtime	+C lower CI	+C upper CI
18164	18126.0	18202.0
-C Avg. Runtime	-C lower CI	-C upper CI
93	91.0	96.0

Trail	C+ Runtime	C- Runtime
0	18255	92
1	18033	92
2	18307	91
3	18044	91
4	18306	92
5	18108	91
6	18102	92
7	18258	93
8	18116	92
9	18122	91
10	18173	90
11	18060	93
12	18252	92
13	18045	92
14	18267	102
15	18153	91
16	18007	92
17	18158	92
18	18215	91
19	18234	93
20	18057	92
21	17904	92
22	18134	93
23	18161	92
24	18081	92
25	18255	128
26	18350	93
27	18295	92
28	18231	91
29	18237	91
